company_name,phone_number,email,website,main_activity,location,products,region,detail_url
شركة البشائر المطورة الصناعية,0122889809,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%A8%D8%B4%D8%A7%D8%A6%D8%B1-%D8%A7%D9%84%D9%85%D8%B7%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D9%8A%D8%A9/
شركة مصنع جدة للدهانات والمعاجين,0126655999,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D8%B5%D9%86%D8%B9-%D8%AC%D8%AF%D8%A9-%D9%84%D9%84%D8%AF%D9%87%D8%A7%D9%86%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AC%D9%8A%D9%86/
شركة المصنع العربي للمواد العازلة,6364596,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D9%84%D9%84%D9%85%D9%88%D8%A7%D8%AF-%D8%A7%D9%84%D8%B9%D8%A7%D8%B2%D9%84%D8%A9/
الشركة السعودية لصناعة المكيفات المحدودة,2022 913,,,,,,Makkah Region,https://companysa.net/%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D9%85%D9%83%D9%8A%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AD%D8/
مصنع شركة شمس للرخام والجرانيت المحدودة,2022 869,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%B4%D9%85%D8%B3-%D9%84%D9%84%D8%B1%D8%AE%D8%A7%D9%85-%D9%88%D8%A7%D9%84%D8%AC%D8%B1%D8%A7%D9%86%D9%8A%D8%AA-%D8%A7%D9%84%D9%85%D8%AD%D8%AF%D9%88%D8/
فـرع الـشركـة الـعـربيـة للتـشيـيـد و الـبــنـاء,2022 791,,,,,,Makkah Region,https://companysa.net/%D9%81%D9%80%D8%B1%D8%B9-%D8%A7%D9%84%D9%80%D8%B4%D8%B1%D9%83%D9%80%D8%A9-%D8%A7%D9%84%D9%80%D8%B9%D9%80%D8%B1%D8%A8%D9%8A%D9%80%D8%A9-%D9%84%D9%84%D8%AA%D9%80%D8%B4%D9%8A%D9%80%D9%8A%D9%80%D8%AF-%D9/
شركة مركز جدة للطباعة والصناعة والورق والبلاستك,6369500,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D8%B1%D9%83%D8%B2-%D8%AC%D8%AF%D8%A9-%D9%84%D9%84%D8%B7%D8%A8%D8%A7%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D9%88%D8%B1%D9%82/
مصنع شركة الحوت التجارية لانتاج الأسماك والروبيان,8223850,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%AD%D9%88%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9-%D9%84%D8%A7%D9%86%D8%AA%D8%A7%D8%AC-%D8%A7%D9%84%D8%A3%D8%B3%D9%85%D8/
شركة مصنع الانسجة المتطورة,2022 791,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D8%A7%D9%86%D8%B3%D8%AC%D8%A9-%D8%A7%D9%84%D9%85%D8%AA%D8%B7%D9%88%D8%B1%D8%A9/
مصنع شركة اسطول المذاق التجارية,0126571777,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D8%B3%D8%B7%D9%88%D9%84-%D8%A7%D9%84%D9%85%D8%B0%D8%A7%D9%82-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9/
